# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_gw_chip/
#
# total peaks = 504
# peak size = 99
# peaks found using tags on both strands
# minimum distance between peaks = 198
# fragment length = 98
# genome size = 2000000000
# Total tags = 19684936.0
# Total tags in peaks = 5544.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.009819
# expected tags per peak = 0.972
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 8.958906e-07
# FDR tag threshold = 9.0
# number of putative peaks = 1616
#
# input tag directory = LXR_gw_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1062
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 50
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_gw_chip/ -center -i LXR_gw_input/ -o LXR_gw_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr19-5	chr19	44463138	44463236	+	11.7	0.714	23.000000	19.1	2.0	9.56	6.48e-13	11.17	8.91e-17	0.90
chr3-8	chr3	145353967	145354065	+	11.2	0.917	17.000000	18.3	2.0	9.14	6.19e-12	26.19	8.27e-24	1.12
chr6-4	chr6	10136369	10136467	+	11.2	0.917	17.000000	18.3	0.5	36.58	3.61e-22	37.29	4.48e-27	1.12
chr17-15	chr17	74927670	74927768	+	10.7	0.900	22.000000	17.5	1.0	17.46	1.09e-15	23.08	1.09e-21	0.87
chr14-3	chr14	27936837	27936935	+	8.6	0.667	17.000000	14.1	0.5	28.26	4.25e-16	20.48	5.15e-17	0.93
chr6-10	chr6	125826927	125827025	+	8.1	0.864	11.000000	13.3	0.5	26.60	1.19e-14	19.28	1.06e-15	1.27
chr6-9	chr6	132413738	132413836	+	8.1	0.941	11.000000	13.3	0.5	26.60	1.19e-14	42.11	6.17e-21	1.27
chr11-175	chr11	87236503	87236601	+	8.1	0.667	16.000000	13.3	1.0	13.30	6.36e-11	12.70	5.90e-13	0.87
chr8-5	chr8	19946496	19946594	+	7.6	0.750	15.000000	12.5	3.0	4.16	7.14e-05	8.82	4.46e-10	0.87
chr11-172	chr11	60024057	60024155	+	7.6	0.913	16.000000	12.5	1.0	12.47	8.32e-10	15.47	1.83e-13	0.87
chr1-18	chr1	108526700	108526798	+	7.1	0.789	14.000000	11.6	0.5	23.28	7.42e-12	15.22	1.42e-12	0.87
chr3-9	chr3	93625202	93625300	+	7.1	0.824	14.000000	11.6	2.0	5.82	8.31e-06	12.07	3.11e-11	0.87
chr3-10	chr3	124931294	124931392	+	7.1	0.933	11.000000	11.6	0.5	23.28	7.42e-12	28.57	3.23e-16	1.11
chr5-5	chr5	115939539	115939637	+	7.1	0.750	15.000000	11.6	0.5	23.28	7.42e-12	8.54	2.54e-09	0.87
chr9-67	chr9	19379866	19379964	+	7.1	0.933	9.000000	11.6	1.0	11.64	1.00e-08	28.00	4.24e-16	1.36
chrX-15	chrX	119944951	119945049	+	7.1	0.800	12.000000	11.6	1.0	11.64	1.00e-08	18.42	1.15e-13	1.22
chr9-57	chr9	77758426	77758524	+	6.6	0.773	15.000000	11.6	0.5	23.28	7.42e-12	11.02	4.63e-10	0.87
chr10-8	chr10	39978350	39978448	+	6.6	0.714	13.000000	10.8	1.0	10.81	1.11e-07	12.75	8.07e-11	0.87
chrX-11	chrX	4780953	4781051	+	6.6	0.824	13.000000	10.8	2.0	5.40	4.65e-05	38.24	9.26e-17	0.87
chr2-25	chr2	60240804	60240902	+	6.1	0.923	10.000000	10.0	1.0	9.98	1.13e-06	16.00	3.12e-11	1.05
chr2-26	chr2	125973584	125973682	+	5.6	0.867	10.000000	9.1	1.0	9.14	1.13e-06	13.42	1.24e-09	1.06
chr5-13	chr5	124849137	124849235	+	5.6	0.800	11.000000	9.1	1.0	9.14	1.13e-06	8.59	1.18e-07	0.87
chr7-7	chr7	62766227	62766325	+	5.6	0.846	9.000000	9.1	0.5	18.29	3.26e-09	28.21	5.38e-13	1.06
chr8-18	chr8	15874631	15874729	+	5.6	0.929	11.000000	9.1	1.0	9.14	1.13e-06	15.49	2.84e-10	0.87
chr8-21	chr8	48227217	48227315	+	5.6	0.846	11.000000	9.1	0.5	18.29	3.26e-09	12.79	2.02e-09	0.87
chr11-189	chr11	104389592	104389690	+	5.6	0.846	10.000000	9.1	1.0	9.14	1.13e-06	10.28	1.98e-08	0.96
chr15-10	chr15	7181014	7181112	+	5.6	0.846	11.000000	9.1	0.5	18.29	3.26e-09	9.40	4.84e-08	0.87
chr15-8	chr15	13388967	13389065	+	5.6	0.812	12.000000	9.1	0.5	18.29	3.26e-09	6.47	1.82e-06	0.87
chr15-14	chr15	61727174	61727272	+	5.6	0.923	11.000000	9.1	1.0	9.14	1.13e-06	4.76	6.92e-05	0.86
chr16-9	chr16	4472775	4472873	+	5.6	0.846	11.000000	9.1	0.5	18.29	3.26e-09	8.46	1.37e-07	0.87
chr17-23	chr17	88250406	88250504	+	5.6	0.800	11.000000	9.1	1.0	9.14	1.13e-06	11.00	9.21e-09	0.87
chr19-8	chr19	58135316	58135414	+	5.6	0.846	12.000000	9.1	1.0	9.14	1.13e-06	7.01	8.54e-07	0.87
chrX-13	chrX	95040066	95040164	+	5.6	0.857	12.000000	9.1	0.5	18.29	3.26e-09	18.65	4.18e-11	0.87
chrX-25	chrX	100915690	100915788	+	5.6	0.857	11.000000	9.1	0.5	18.29	3.26e-09	9.40	4.84e-08	0.87
chrX-26	chrX	166445693	166445791	+	5.6	0.917	11.000000	9.1	1.0	9.14	1.13e-06	12.64	2.27e-09	0.87
chrX-24	chrX	166611794	166611892	+	5.6	0.846	11.000000	9.1	1.0	9.14	1.13e-06	24.39	2.45e-11	0.86
chr1-87	chr1	67723291	67723389	+	5.1	0.917	10.000000	8.3	0.5	16.63	5.88e-08	10.75	5.26e-08	0.86
chr1-53	chr1	92212753	92212851	+	5.1	0.929	11.000000	8.3	0.5	16.63	5.88e-08	8.93	3.10e-07	0.86
chr1-110	chr1	110236667	110236765	+	5.1	0.929	10.000000	8.3	1.0	8.31	1.02e-05	11.63	2.58e-08	0.96
chr1-97	chr1	137294504	137294602	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	8.33	5.76e-07	0.86
chr2-46	chr2	64417119	64417217	+	5.1	0.846	9.000000	8.3	0.5	16.63	5.88e-08	13.33	7.32e-09	0.96
chr2-23	chr2	118378497	118378595	+	5.1	0.769	10.000000	8.3	1.0	8.31	1.02e-05	13.89	5.02e-09	0.86
chr2-21	chr2	173901758	173901856	+	5.1	0.688	11.000000	8.3	1.0	8.31	1.02e-05	11.36	3.18e-08	0.86
chr3-13	chr3	5813869	5813967	+	5.1	0.714	10.000000	8.3	1.0	8.31	1.02e-05	15.15	2.23e-09	0.86
chr4-34	chr4	146710326	146710424	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	14.29	3.86e-09	0.86
chr5-44	chr5	12474488	12474586	+	5.1	0.714	10.000000	8.3	1.0	8.31	1.02e-05	6.58	4.59e-06	0.86
chr5-15	chr5	12995226	12995324	+	5.1	0.688	11.000000	8.3	1.0	8.31	1.02e-05	6.10	8.81e-06	0.86
chr5-39	chr5	53882274	53882372	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	9.52	1.73e-07	0.86
chr5-40	chr5	74851883	74851981	+	5.1	0.786	10.000000	8.3	0.5	16.63	5.88e-08	8.85	3.36e-07	0.86
chr5-21	chr5	86408309	86408407	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	10.00	1.01e-07	0.86
chr5-27	chr5	89728888	89728986	+	5.1	0.625	10.000000	8.3	1.0	8.31	1.02e-05	8.93	3.10e-07	0.86
chr5-41	chr5	110741982	110742080	+	5.1	0.846	10.000000	8.3	1.0	8.31	1.02e-05	10.21	8.44e-08	0.86
chr5-37	chr5	140642302	140642400	+	5.1	0.846	10.000000	8.3	0.5	16.63	5.88e-08	8.93	3.10e-07	0.86
chr5-20	chr5	141978447	141978545	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	7.52	1.43e-06	0.86
chr5-38	chr5	143758353	143758451	+	5.1	0.846	10.000000	8.3	1.0	8.31	1.02e-05	9.26	2.24e-07	0.86
chr8-29	chr8	19999768	19999866	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	28.57	5.35e-12	0.86
chr8-27	chr8	48890921	48891019	+	5.1	0.833	10.000000	8.3	0.5	16.63	5.88e-08	12.99	9.34e-09	0.86
chr8-24	chr8	83692225	83692323	+	5.1	0.625	10.000000	8.3	1.0	8.31	1.02e-05	9.35	2.06e-07	0.86
chr8-17	chr8	84578188	84578286	+	5.1	0.778	12.000000	8.3	0.5	16.63	5.88e-08	10.31	7.70e-08	0.86
chr8-30	chr8	95033256	95033354	+	5.1	0.800	10.000000	8.3	1.0	8.31	1.02e-05	9.80	1.33e-07	0.86
chr9-64	chr9	65976536	65976634	+	5.1	0.769	10.000000	8.3	0.5	16.63	5.88e-08	11.77	2.32e-08	0.86
chr9-62	chr9	110021608	110021706	+	5.1	0.769	10.000000	8.3	1.0	8.31	1.02e-05	12.82	1.05e-08	0.86
chr11-195	chr11	27224610	27224708	+	5.1	0.786	10.000000	8.3	1.0	8.31	1.02e-05	9.68	5.65e-07	0.86
chr11-224	chr11	35709844	35709942	+	5.1	0.733	9.000000	8.3	0.5	16.63	5.88e-08	6.90	3.05e-06	0.96
chr11-187	chr11	36186381	36186479	+	5.1	0.846	11.000000	9.1	1.0	9.14	1.13e-06	8.85	3.36e-07	0.86
chr13-7	chr13	97363735	97363833	+	5.1	0.733	11.000000	8.3	0.5	16.63	5.88e-08	10.87	4.77e-08	0.86
chr13-9	chr13	117809541	117809639	+	5.1	0.800	10.000000	8.3	0.5	16.63	5.88e-08	10.53	6.38e-08	0.86
chr14-4	chr14	65581154	65581252	+	5.1	0.833	10.000000	8.3	0.5	16.63	5.88e-08	13.24	4.34e-08	0.86
chr14-6	chr14	117912000	117912098	+	5.1	0.667	10.000000	8.3	0.5	16.63	5.88e-08	5.56	1.94e-05	0.86
chr15-13	chr15	6654143	6654241	+	5.1	0.917	11.000000	8.3	1.0	8.31	1.02e-05	7.90	3.23e-06	0.86
chr15-43	chr15	46521073	46521171	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	13.16	8.28e-09	0.86
chr15-36	chr15	61318060	61318158	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	5.00	4.65e-05	0.86
chr15-30	chr15	62101647	62101745	+	5.1	0.632	10.000000	8.3	0.5	16.63	5.88e-08	4.83	6.16e-05	0.86
chr15-41	chr15	64708043	64708141	+	5.1	0.909	10.000000	8.3	0.5	16.63	5.88e-08	10.10	9.25e-08	0.86
chr15-38	chr15	90126764	90126862	+	5.1	0.786	10.000000	8.3	1.0	8.31	1.02e-05	9.90	1.22e-07	0.86
chr15-37	chr15	101706443	101706541	+	5.1	0.750	10.000000	8.3	0.5	16.63	5.88e-08	8.33	5.76e-07	0.86
chr16-12	chr16	21205583	21205681	+	5.1	0.714	10.000000	8.3	0.5	16.63	5.88e-08	8.77	3.64e-07	0.86
chr17-29	chr17	91613507	91613605	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	16.95	7.80e-10	0.86
chr17-28	chr17	91847401	91847499	+	5.1	0.846	10.000000	8.3	1.0	8.31	1.02e-05	12.50	1.33e-08	0.86
chr18-21	chr18	58016391	58016489	+	5.1	0.909	9.000000	8.3	0.5	16.63	5.88e-08	13.33	7.32e-09	0.96
chr19-28	chr19	37321123	37321221	+	5.1	0.714	10.000000	8.3	0.5	16.63	5.88e-08	6.45	5.43e-06	0.86
chr19-140	chr19	37333523	37333621	+	5.1	0.588	9.000000	8.3	0.5	16.63	5.88e-08	6.29	6.76e-06	0.96
chr19-30	chr19	43862253	43862351	+	5.1	0.846	10.000000	8.3	0.5	16.63	5.88e-08	5.44	2.33e-05	0.86
chr19-11	chr19	48168795	48168893	+	5.1	0.917	11.000000	8.3	1.0	8.31	1.02e-05	7.46	1.53e-06	0.86
chr19-10	chr19	50826661	50826759	+	5.1	0.786	11.000000	9.1	0.5	18.29	3.26e-09	8.40	5.34e-07	0.86
chr19-38	chr19	52373224	52373322	+	5.1	0.833	10.000000	8.3	0.5	16.63	5.88e-08	7.87	9.53e-07	0.86
chr19-29	chr19	53220670	53220768	+	5.1	0.750	10.000000	8.3	0.5	16.63	5.88e-08	6.45	5.43e-06	0.86
chrX-43	chrX	5003843	5003941	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	12.20	1.67e-08	0.86
chrX-32	chrX	32102962	32103060	+	5.1	0.714	10.000000	8.3	0.5	16.63	5.88e-08	9.52	1.73e-07	0.86
chrX-34	chrX	53779366	53779464	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	10.21	8.44e-08	0.86
chrX-27	chrX	55692854	55692952	+	5.1	0.846	10.000000	8.3	1.0	8.31	1.02e-05	7.19	2.11e-06	0.86
chrX-29	chrX	65134819	65134917	+	5.1	0.769	10.000000	8.3	1.0	8.31	1.02e-05	9.35	2.06e-07	0.86
chrX-48	chrX	66915719	66915817	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	10.53	6.38e-08	0.86
chrX-33	chrX	86176251	86176349	+	5.1	0.846	10.000000	8.3	0.5	16.63	5.88e-08	8.33	2.09e-06	0.86
chrX-49	chrX	134402102	134402200	+	5.1	0.800	10.000000	8.3	1.0	8.31	1.02e-05	7.94	8.88e-07	0.86
chrX-46	chrX	135667466	135667564	+	5.1	0.833	10.000000	8.3	1.0	8.31	1.02e-05	12.05	1.86e-08	0.86
chrX-16	chrX	148758576	148758674	+	5.1	0.722	12.000000	8.3	1.0	8.31	1.02e-05	6.37	6.07e-06	0.86
chrX-36	chrX	159363043	159363141	+	5.1	0.786	10.000000	8.3	1.0	8.31	1.02e-05	7.58	1.34e-06	0.86
chrX-40	chrX	166393293	166393391	+	5.1	0.909	10.000000	8.3	1.0	8.31	1.02e-05	6.99	2.70e-06	0.86
chr1-149	chr1	16648768	16648866	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	9.00	1.01e-06	0.86
chr1-78	chr1	50751561	50751659	+	4.6	0.833	10.000000	7.5	1.0	7.48	8.32e-05	9.78	5.18e-07	0.86
chr1-173	chr1	51819051	51819149	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	9.09	9.35e-07	0.86
chr1-150	chr1	57984149	57984247	+	4.6	0.714	9.000000	7.5	0.5	14.96	9.40e-07	8.74	1.43e-06	0.86
chr1-104	chr1	72273116	72273214	+	4.6	0.588	10.000000	7.5	1.0	7.48	8.32e-05	8.82	1.32e-06	0.86
chr1-136	chr1	85278072	85278170	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	7.26	6.29e-06	0.86
chr1-172	chr1	103482434	103482532	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	18.75	2.30e-09	0.86
chr1-179	chr1	135582447	135582545	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	9.78	5.18e-07	0.86
chr1-113	chr1	136669037	136669135	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	8.49	1.80e-06	0.86
chr1-130	chr1	144964662	144964760	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	12.00	9.77e-08	0.86
chr1-109	chr1	161447503	161447601	+	4.6	0.833	10.000000	7.5	0.5	14.96	9.40e-07	7.26	6.29e-06	0.86
chr1-120	chr1	162873002	162873100	+	4.6	0.714	9.000000	7.5	1.0	7.48	8.32e-05	8.82	1.32e-06	0.86
chr1-139	chr1	166509326	166509424	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	11.11	1.84e-07	0.86
chr1-183	chr1	175730888	175730986	+	4.6	0.846	9.000000	7.5	1.0	7.48	8.32e-05	19.57	1.60e-09	0.86
chr1-152	chr1	179004636	179004734	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	10.23	3.61e-07	0.86
chr1-84	chr1	183062165	183062263	+	4.6	0.917	10.000000	7.5	1.0	7.48	8.32e-05	8.26	2.25e-06	0.86
chr2-36	chr2	16604691	16604789	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	13.43	3.83e-08	0.86
chr2-40	chr2	32182300	32182398	+	4.6	0.833	9.000000	7.5	0.5	14.96	9.40e-07	11.39	1.50e-07	0.86
chr2-48	chr2	57839265	57839363	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	11.54	1.35e-07	0.86
chr2-37	chr2	75738884	75738982	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	8.49	1.80e-06	0.86
chr2-49	chr2	103079323	103079421	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	10.23	3.61e-07	0.86
chr2-47	chr2	111843884	111843982	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	12.68	6.21e-08	0.86
chr2-30	chr2	112786792	112786890	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	11.25	1.66e-07	0.86
chr2-45	chr2	118118254	118118352	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	8.91	1.22e-06	0.86
chr2-28	chr2	120418030	120418128	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	9.58	6.16e-07	0.86
chr2-29	chr2	162193094	162193192	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	15.26	1.32e-08	0.86
chr3-14	chr3	15334217	15334315	+	4.6	0.733	9.000000	7.5	0.5	14.96	9.40e-07	9.38	7.30e-07	0.86
chr3-19	chr3	37201712	37201810	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	13.43	3.83e-08	0.86
chr3-23	chr3	49415134	49415232	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	33.34	1.60e-11	0.86
chr3-21	chr3	112110169	112110267	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	16.37	7.32e-09	0.86
chr3-20	chr3	126766548	126766646	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	13.04	4.90e-08	0.86
chr3-12	chr3	141902117	141902215	+	4.6	0.917	10.000000	7.5	1.0	7.48	8.32e-05	10.59	2.73e-07	0.86
chr3-17	chr3	156959954	156960052	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	13.24	4.34e-08	0.86
chr4-39	chr4	6755079	6755177	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	12.00	9.77e-08	0.86
chr4-38	chr4	145006364	145006462	+	4.6	0.846	9.000000	7.5	0.5	14.96	9.40e-07	10.11	3.96e-07	0.86
chr5-68	chr5	3957918	3958016	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	7.08	2.43e-05	0.85
chr5-69	chr5	4476018	4476116	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	7.38	5.53e-06	0.86
chr5-149	chr5	10155042	10155140	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	9.47	6.71e-07	0.86
chr5-126	chr5	13035865	13035963	+	4.6	0.600	9.000000	7.5	0.5	14.96	9.40e-07	5.52	5.22e-05	0.86
chr5-26	chr5	14373088	14373186	+	4.6	0.833	10.000000	7.5	1.0	7.48	8.32e-05	8.41	1.94e-06	0.86
chr5-136	chr5	15357513	15357611	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	6.48	1.54e-05	0.86
chr5-148	chr5	18726334	18726432	+	4.6	0.600	9.000000	7.5	1.0	7.48	8.32e-05	8.33	2.09e-06	0.86
chr5-109	chr5	21130642	21130740	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	8.91	1.22e-06	0.86
chr5-29	chr5	24360212	24360310	+	4.6	0.833	10.000000	7.5	1.0	7.48	8.32e-05	6.43	1.63e-05	0.86
chr5-134	chr5	27420735	27420833	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	7.14	2.28e-05	0.85
chr5-62	chr5	28855832	28855930	+	4.6	0.769	9.000000	7.5	0.5	14.96	9.40e-07	7.56	4.54e-06	0.86
chr5-19	chr5	31933334	31933432	+	4.6	0.733	10.000000	7.5	1.0	7.48	8.32e-05	6.48	1.54e-05	0.86
chr5-84	chr5	33176558	33176656	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	6.67	1.23e-05	0.86
chr5-140	chr5	47668653	47668751	+	4.6	0.900	9.000000	7.5	0.5	14.96	9.40e-07	13.24	4.34e-08	0.86
chr5-135	chr5	48386191	48386289	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	6.67	1.23e-05	0.86
chr5-74	chr5	50830074	50830172	+	4.6	0.750	9.000000	7.5	0.5	14.96	9.40e-07	9.64	2.43e-06	0.85
chr5-95	chr5	53334071	53334169	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	7.32	5.90e-06	0.86
chr5-53	chr5	55216670	55216768	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	8.04	2.80e-06	0.86
chr5-130	chr5	57526847	57526945	+	4.6	0.643	9.000000	7.5	0.5	14.96	9.40e-07	10.47	3.00e-07	0.86
chr5-114	chr5	66705307	66705405	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	7.69	3.97e-06	0.86
chr5-94	chr5	70721818	70721916	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	9.28	7.94e-07	0.86
chr5-82	chr5	73143459	73143557	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	8.33	6.85e-06	0.85
chr5-150	chr5	74560323	74560421	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	8.33	2.09e-06	0.86
chr5-87	chr5	90044972	90045070	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	7.56	4.54e-06	0.86
chr5-100	chr5	90726264	90726362	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	8.26	2.25e-06	0.86
chr5-131	chr5	91751414	91751512	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	7.44	5.19e-06	0.86
chr5-36	chr5	92571470	92571568	+	4.6	0.846	10.000000	7.5	1.0	7.48	8.32e-05	8.41	1.94e-06	0.86
chr5-129	chr5	93720602	93720700	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	9.47	6.71e-07	0.86
chr5-31	chr5	100940989	100941087	+	4.6	0.733	10.000000	7.5	0.5	14.96	9.40e-07	8.33	2.09e-06	0.86
chr5-47	chr5	104886722	104886820	+	4.6	0.833	9.000000	7.5	0.5	14.96	9.40e-07	12.33	7.81e-08	0.86
chr5-155	chr5	118089986	118090084	+	4.6	0.833	9.000000	7.5	1.0	7.48	8.32e-05	8.00	9.12e-06	0.85
chr5-111	chr5	122099252	122099350	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	6.17	2.25e-05	0.86
chr5-75	chr5	129042755	129042853	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	10.98	2.03e-07	0.86
