# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_control_chip/
#
# total peaks = 706
# peak size = 103
# peaks found using tags on both strands
# minimum distance between peaks = 206
# fragment length = 102
# genome size = 2000000000
# Total tags = 20325998.0
# Total tags in peaks = 6984.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.010141
# expected tags per peak = 1.044
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 1.602641e-06
# FDR tag threshold = 9.0
# number of putative peaks = 2049
#
# input tag directory = LXR_control_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1230
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 113
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_control_chip/ -center -i LXR_control_input/ -o LXR_control_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr6-5	chr6	136752826	136752928	+	5.4	0.706	11.000000	11.0	1.9	5.78	5.25e-06	12.15	3.40e-09	0.87
chr8-18	chr8	19784587	19784689	+	5.4	0.800	12.000000	12.0	2.9	4.20	4.48e-05	45.95	2.91e-15	0.87
chr8-22	chr8	87418899	87419001	+	5.4	0.923	11.000000	11.0	1.0	11.56	5.60e-09	9.44	4.66e-08	0.87
chr9-61	chr9	77758418	77758520	+	5.4	0.684	11.000000	11.0	1.9	5.78	5.25e-06	10.16	2.23e-08	0.96
chr10-9	chr10	66391451	66391553	+	5.4	0.857	12.000000	11.0	0.5	23.12	4.40e-12	8.81	9.23e-08	0.87
chr12-7	chr12	116735653	116735755	+	5.4	0.917	11.000000	11.0	1.0	11.56	5.60e-09	19.94	2.07e-11	0.87
chr13-8	chr13	23848823	23848925	+	5.4	0.750	12.000000	11.0	1.9	5.78	5.25e-06	9.97	2.69e-08	0.87
chr14-3	chr14	22131236	22131338	+	5.4	0.929	12.000000	11.0	1.0	11.56	5.60e-09	8.32	1.61e-07	0.87
chr17-23	chr17	4626294	4626396	+	5.4	0.786	11.000000	11.0	0.5	23.12	4.40e-12	14.48	5.70e-10	0.87
chr19-19	chr19	34141355	34141457	+	5.4	0.857	11.000000	11.0	0.5	23.12	4.40e-12	9.61	3.90e-08	0.87
chr19-13	chr19	44169502	44169604	+	5.4	0.800	11.000000	11.0	1.0	11.56	5.60e-09	6.82	1.11e-06	0.87
chr19-16	chr19	46815351	46815453	+	5.4	0.917	11.000000	11.0	1.0	11.56	5.60e-09	7.83	2.93e-07	0.87
chr19-22	chr19	52922683	52922785	+	5.4	0.786	11.000000	11.0	1.0	11.56	5.60e-09	14.48	5.70e-10	0.87
chrX-19	chrX	133252667	133252769	+	5.4	0.923	11.000000	11.0	1.9	5.78	5.25e-06	9.11	6.61e-08	0.87
chrX-15	chrX	138804708	138804810	+	5.4	0.765	12.000000	12.0	1.0	12.61	4.44e-10	9.61	3.90e-08	0.87
chrX-21	chrX	157336783	157336885	+	5.4	0.733	11.000000	11.0	0.5	23.12	4.40e-12	7.34	5.47e-07	0.87
chr1-96	chr1	50907125	50907227	+	4.9	0.833	10.000000	10.0	0.5	21.02	1.02e-10	10.11	9.15e-08	0.87
chr1-102	chr1	53222994	53223096	+	4.9	0.833	10.000000	10.0	0.5	21.02	1.02e-10	10.81	2.30e-07	0.86
chr1-112	chr1	54161490	54161592	+	4.9	0.846	10.000000	10.0	0.5	21.02	1.02e-10	10.01	1.01e-07	0.87
chr1-105	chr1	66870697	66870799	+	4.9	0.846	10.000000	10.0	0.5	21.02	1.02e-10	7.81	1.02e-06	0.87
chr1-70	chr1	72301848	72301950	+	4.9	0.600	11.000000	10.0	1.9	5.25	3.08e-05	7.46	5.10e-06	0.86
chr1-72	chr1	129244719	129244821	+	4.9	0.733	11.000000	10.0	1.0	10.51	6.47e-08	8.74	3.78e-07	0.87
chr1-116	chr1	156131990	156132092	+	4.9	0.909	10.000000	10.0	1.0	10.51	6.47e-08	11.04	4.13e-08	0.87
chr1-103	chr1	183990182	183990284	+	4.9	0.769	10.000000	10.0	1.0	10.51	6.47e-08	9.61	1.60e-07	0.87
chr2-26	chr2	109132153	109132255	+	4.9	0.846	10.000000	10.0	0.5	21.02	1.02e-10	8.28	6.08e-07	0.87
chr2-20	chr2	112946502	112946604	+	4.9	0.769	10.000000	10.0	1.0	10.51	6.47e-08	14.34	3.73e-09	0.87
chr2-19	chr2	127577669	127577771	+	4.9	0.917	10.000000	10.0	1.0	10.51	6.47e-08	14.13	4.28e-09	0.96
chr2-24	chr2	152499821	152499923	+	4.9	0.786	10.000000	10.0	1.9	5.25	3.08e-05	8.90	3.21e-07	0.87
chr3-11	chr3	21934997	21935099	+	4.9	0.733	10.000000	10.0	1.0	10.51	6.47e-08	9.15	2.49e-07	0.87
chr3-8	chr3	96066943	96067045	+	4.9	0.700	11.000000	10.0	0.5	21.02	1.02e-10	8.07	7.63e-07	0.87
chr4-40	chr4	6417771	6417873	+	4.9	0.833	10.000000	10.0	1.0	10.51	6.47e-08	15.50	1.81e-09	0.87
chr4-47	chr4	16908910	16909012	+	4.9	0.833	10.000000	10.0	1.0	10.51	6.47e-08	15.50	1.81e-09	0.87
chr4-41	chr4	24423533	24423635	+	4.9	0.786	10.000000	10.0	0.5	21.02	1.02e-10	14.13	4.28e-09	0.87
chr4-37	chr4	146976131	146976233	+	4.9	0.769	10.000000	10.0	1.9	5.25	3.08e-05	4.90	5.46e-05	0.87
chr5-15	chr5	4833950	4834052	+	4.9	0.786	11.000000	10.0	1.0	10.51	6.47e-08	9.91	1.21e-07	0.87
chr5-52	chr5	13454058	13454160	+	4.9	0.769	10.000000	10.0	1.9	5.25	3.08e-05	5.52	2.04e-05	0.87
chr5-55	chr5	21509958	21510060	+	4.9	0.923	10.000000	10.0	0.5	21.02	1.02e-10	8.28	6.08e-07	0.87
chr5-21	chr5	38411361	38411463	+	4.9	0.846	11.000000	10.0	1.0	10.51	6.47e-08	7.93	3.11e-06	0.86
chr5-92	chr5	38615813	38615915	+	4.9	0.667	9.000000	10.0	0.5	21.02	1.02e-10	7.51	1.45e-06	0.96
chr5-38	chr5	49366455	49366557	+	4.9	0.909	10.000000	10.0	1.0	10.51	6.47e-08	9.42	1.92e-07	0.87
chr5-35	chr5	50050216	50050318	+	4.9	0.714	10.000000	10.0	1.9	5.25	3.08e-05	7.93	3.11e-06	0.86
chr5-62	chr5	50213024	50213126	+	4.9	0.923	10.000000	10.0	1.0	10.51	6.47e-08	11.30	3.34e-08	0.87
chr5-61	chr5	73507228	73507330	+	4.9	0.714	10.000000	10.0	1.9	5.25	3.08e-05	6.45	1.58e-05	0.86
chr5-40	chr5	89060128	89060230	+	4.9	0.846	10.000000	10.0	1.0	10.51	6.47e-08	8.36	5.63e-07	0.87
chr5-32	chr5	110958121	110958223	+	4.9	0.800	10.000000	10.0	1.9	5.25	3.08e-05	7.07	2.47e-06	0.96
chr5-58	chr5	119115402	119115504	+	4.9	0.733	10.000000	10.0	0.5	21.02	1.02e-10	6.36	1.77e-05	0.86
chr5-26	chr5	124366985	124367087	+	4.9	0.917	10.000000	10.0	1.9	5.25	3.08e-05	8.43	5.21e-07	0.87
chr5-24	chr5	148550688	148550790	+	4.9	0.765	11.000000	10.0	0.5	21.02	1.02e-10	8.48	1.82e-06	0.86
chr5-43	chr5	150462729	150462831	+	4.9	0.786	10.000000	10.0	0.5	21.02	1.02e-10	8.74	3.78e-07	0.87
chr6-10	chr6	36365426	36365528	+	4.9	0.909	10.000000	10.0	1.0	10.51	6.47e-08	10.68	2.55e-07	0.86
chr6-8	chr6	116088919	116089021	+	4.9	0.833	10.000000	10.0	1.0	10.51	6.47e-08	10.56	6.20e-08	0.87
chr8-37	chr8	38142792	38142894	+	4.9	0.833	10.000000	10.0	0.5	21.02	1.02e-10	10.01	1.01e-07	0.87
chr8-30	chr8	45491389	45491491	+	4.9	0.706	11.000000	10.0	1.0	10.51	6.47e-08	11.04	4.13e-08	0.87
chr8-28	chr8	48465474	48465576	+	4.9	0.917	11.000000	10.0	0.5	21.02	1.02e-10	12.01	1.92e-08	0.87
chr8-40	chr8	48577796	48577898	+	4.9	0.714	10.000000	10.0	0.5	21.02	1.02e-10	9.24	2.28e-07	0.87
chr8-24	chr8	50503696	50503798	+	4.9	0.786	11.000000	10.0	1.9	5.25	3.08e-05	7.17	2.17e-06	0.87
chr8-47	chr8	51095994	51096096	+	4.9	0.769	10.000000	10.0	1.0	10.51	6.47e-08	8.28	6.08e-07	0.87
chr8-76	chr8	61344431	61344533	+	4.9	0.909	9.000000	10.0	1.0	10.51	6.47e-08	8.90	3.21e-07	0.96
chr8-46	chr8	72348694	72348796	+	4.9	0.846	10.000000	10.0	1.0	10.51	6.47e-08	7.07	2.47e-06	0.87
chr8-31	chr8	78617871	78617973	+	4.9	0.714	10.000000	10.0	1.0	10.51	6.47e-08	10.33	7.55e-08	0.87
chr8-32	chr8	123325413	123325515	+	4.9	0.750	10.000000	10.0	0.5	21.02	1.02e-10	11.72	2.40e-08	0.87
chr10-11	chr10	72019943	72020045	+	4.9	0.769	10.000000	10.0	0.5	21.02	1.02e-10	10.22	8.32e-08	0.87
chr10-14	chr10	84762523	84762625	+	4.9	0.909	10.000000	10.0	0.5	21.02	1.02e-10	11.44	3.00e-08	0.87
chr11-177	chr11	4997760	4997862	+	4.9	0.647	11.000000	10.0	1.0	10.51	6.47e-08	8.21	6.56e-07	0.87
chr11-187	chr11	16439319	16439421	+	4.9	0.667	10.000000	10.0	1.9	5.25	3.08e-05	9.61	1.60e-07	0.87
chr11-186	chr11	17220896	17220998	+	4.9	0.786	10.000000	10.0	1.9	5.25	3.08e-05	8.36	5.63e-07	0.87
chr11-223	chr11	35721732	35721834	+	4.9	0.833	9.000000	10.0	1.0	10.51	6.47e-08	6.96	2.81e-06	0.96
chr11-180	chr11	44085710	44085812	+	4.9	0.857	11.000000	10.0	1.0	10.51	6.47e-08	7.22	2.04e-06	0.87
chr11-184	chr11	52182425	52182527	+	4.9	0.769	10.000000	10.0	1.0	10.51	6.47e-08	8.56	1.68e-06	0.86
chr11-198	chr11	52702770	52702872	+	4.9	0.769	10.000000	10.0	0.5	21.02	1.02e-10	8.58	4.44e-07	0.87
chr11-238	chr11	54597009	54597111	+	4.9	0.929	9.000000	10.0	0.5	21.02	1.02e-10	6.77	3.60e-06	0.96
chr11-188	chr11	55490974	55491076	+	4.9	0.714	10.000000	10.0	0.5	21.02	1.02e-10	7.17	2.17e-06	0.87
chr11-248	chr11	57773255	57773357	+	4.9	0.750	9.000000	10.0	1.9	5.25	3.08e-05	7.39	5.45e-06	0.97
chr11-235	chr11	60122109	60122211	+	4.9	0.917	9.000000	10.0	1.0	10.51	6.47e-08	8.07	7.63e-07	0.96
chr11-251	chr11	99467634	99467736	+	4.9	0.857	9.000000	10.0	0.5	21.02	1.02e-10	9.40	7.15e-07	0.97
chr12-19	chr12	79254182	79254284	+	4.9	0.786	9.000000	10.0	1.0	10.51	6.47e-08	8.40	1.97e-06	0.97
chr13-9	chr13	23622962	23623064	+	4.9	0.833	10.000000	10.0	1.9	5.25	3.08e-05	9.91	1.21e-07	0.87
chr13-15	chr13	23779159	23779261	+	4.9	0.833	10.000000	10.0	0.5	21.02	1.02e-10	9.01	1.01e-06	0.86
chr13-11	chr13	88862375	88862477	+	4.9	0.909	10.000000	10.0	0.5	21.02	1.02e-10	14.78	2.81e-09	0.87
chr13-14	chr13	89333253	89333355	+	4.9	0.800	10.000000	10.0	0.5	21.02	1.02e-10	10.44	6.85e-08	0.96
chr14-4	chr14	24198667	24198769	+	4.9	0.833	10.000000	10.0	0.5	21.02	1.02e-10	9.61	1.60e-07	0.87
chr15-37	chr15	18434791	18434893	+	4.9	0.786	10.000000	10.0	1.0	10.51	6.47e-08	10.33	7.55e-08	0.87
chr15-84	chr15	27178474	27178576	+	4.9	0.800	9.000000	10.0	1.9	5.25	3.08e-05	7.33	1.78e-06	0.96
chr15-19	chr15	32454857	32454959	+	4.9	0.833	10.000000	10.0	0.5	21.02	1.02e-10	8.08	2.68e-06	0.86
chr15-39	chr15	39116566	39116668	+	4.9	0.714	10.000000	10.0	1.0	10.51	6.47e-08	7.07	2.47e-06	0.87
chr15-223	chr15	41209234	41209336	+	4.9	0.769	9.000000	10.0	1.0	10.51	6.47e-08	10.68	5.61e-08	0.96
chr15-40	chr15	45274493	45274595	+	4.9	0.714	10.000000	10.0	0.5	21.02	1.02e-10	5.82	1.30e-05	0.87
chr15-55	chr15	53608838	53608940	+	4.9	0.846	10.000000	10.0	1.0	10.51	6.47e-08	8.36	5.63e-07	0.87
chr15-220	chr15	80260280	80260382	+	4.9	0.917	9.000000	10.0	1.9	5.25	3.08e-05	7.22	2.04e-06	0.96
chr15-30	chr15	102650764	102650866	+	4.9	0.846	10.000000	10.0	1.9	5.25	3.08e-05	7.22	2.04e-06	0.87
chr16-59	chr16	31140826	31140928	+	4.9	0.667	9.000000	10.0	1.0	10.51	6.47e-08	7.94	8.85e-07	0.96
chr16-19	chr16	35873290	35873392	+	4.9	0.909	10.000000	10.0	1.0	10.51	6.47e-08	10.80	5.07e-08	0.87
chr16-42	chr16	59833891	59833993	+	4.9	0.800	9.000000	10.0	1.0	10.51	6.47e-08	8.14	7.08e-07	0.96
chr16-63	chr16	65141164	65141266	+	4.9	0.833	9.000000	10.0	1.9	5.25	3.08e-05	8.74	3.78e-07	0.96
chr17-25	chr17	74944263	74944365	+	4.9	0.800	10.000000	10.0	1.0	10.51	6.47e-08	9.24	2.28e-07	0.87
chr19-45	chr19	29320072	29320174	+	4.9	0.688	10.000000	10.0	0.5	21.02	1.02e-10	6.97	8.63e-06	0.86
chr19-37	chr19	38031769	38031871	+	4.9	0.909	10.000000	10.0	0.5	21.02	1.02e-10	5.93	1.12e-05	0.87
chr19-52	chr19	41058293	41058395	+	4.9	0.786	10.000000	10.0	0.5	21.02	1.02e-10	6.01	1.00e-05	0.96
chr19-44	chr19	42167713	42167815	+	4.9	0.786	10.000000	10.0	0.5	21.02	1.02e-10	5.40	2.47e-05	0.87
chr19-25	chr19	47003228	47003330	+	4.9	0.647	10.000000	10.0	1.0	10.51	6.47e-08	6.08	9.02e-06	0.87
chr19-12	chr19	47931232	47931334	+	4.9	0.647	11.000000	10.0	1.9	5.25	3.08e-05	5.49	2.14e-05	0.87
chr19-27	chr19	51559544	51559646	+	4.9	0.688	10.000000	10.0	0.5	21.02	1.02e-10	6.86	3.18e-06	0.87
chr19-15	chr19	53233241	53233343	+	4.9	0.917	11.000000	10.0	1.9	5.25	3.08e-05	5.69	1.60e-05	0.87
chr19-26	chr19	55762600	55762702	+	4.9	0.909	10.000000	10.0	1.0	10.51	6.47e-08	5.55	1.94e-05	0.87
chr19-29	chr19	56497530	56497632	+	4.9	0.750	10.000000	10.0	1.0	10.51	6.47e-08	6.24	7.25e-06	0.87
chr19-33	chr19	57079270	57079372	+	4.9	0.769	10.000000	10.0	1.9	5.25	3.08e-05	6.28	6.85e-06	0.87
chr19-100	chr19	59748643	59748745	+	4.9	0.667	9.000000	10.0	1.0	10.51	6.47e-08	7.22	2.04e-06	0.96
chr19-39	chr19	60572440	60572542	+	4.9	0.714	10.000000	10.0	1.9	5.25	3.08e-05	5.65	1.68e-05	0.87
chrX-32	chrX	13098671	13098773	+	4.9	0.714	10.000000	10.0	1.9	5.25	3.08e-05	7.81	1.02e-06	0.87
chrX-98	chrX	70035529	70035631	+	4.9	0.909	9.000000	10.0	1.0	10.51	6.47e-08	9.71	1.46e-07	0.96
chrX-18	chrX	72667797	72667899	+	4.9	0.688	11.000000	10.0	1.9	5.25	3.08e-05	8.90	3.21e-07	0.87
chrX-17	chrX	82325791	82325893	+	4.9	0.688	11.000000	10.0	0.5	21.02	1.02e-10	10.01	1.01e-07	0.87
chrX-40	chrX	84734163	84734265	+	4.9	0.714	10.000000	10.0	0.5	21.02	1.02e-10	11.72	2.40e-08	0.87
chrX-44	chrX	85532136	85532238	+	4.9	0.786	10.000000	10.0	1.0	10.51	6.47e-08	11.30	3.34e-08	0.87
chrX-45	chrX	134309638	134309740	+	4.9	0.909	10.000000	10.0	1.0	10.51	6.47e-08	9.42	1.92e-07	0.87
chrX-34	chrX	134442348	134442450	+	4.9	0.917	10.000000	10.0	0.5	21.02	1.02e-10	9.24	2.28e-07	0.87
chrX-37	chrX	136708645	136708747	+	4.9	0.786	10.000000	10.0	1.0	10.51	6.47e-08	7.12	2.32e-06	0.87
chr1-120	chr1	10004768	10004870	+	4.4	0.750	9.000000	9.0	0.5	18.92	2.14e-09	8.92	1.21e-06	0.86
chr1-187	chr1	43622534	43622636	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	9.94	4.56e-07	0.86
chr1-129	chr1	45537193	45537295	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	7.93	3.11e-06	0.86
chr1-101	chr1	53832372	53832474	+	4.4	0.923	10.000000	9.0	1.0	9.46	6.80e-07	7.79	3.59e-06	0.86
chr1-98	chr1	58005002	58005104	+	4.4	0.800	10.000000	9.0	0.5	18.92	2.14e-09	10.30	3.43e-07	0.86
chr1-141	chr1	90442667	90442769	+	4.4	0.692	9.000000	9.0	1.0	9.46	6.80e-07	8.65	1.55e-06	0.86
chr1-193	chr1	90480562	90480664	+	4.4	0.750	9.000000	9.0	1.0	9.46	6.80e-07	8.65	1.55e-06	0.86
chr1-174	chr1	105879088	105879190	+	4.4	0.900	9.000000	9.0	0.5	18.92	2.14e-09	11.85	1.09e-07	0.86
chr1-124	chr1	114667962	114668064	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	15.44	1.19e-08	0.86
chr1-131	chr1	117149158	117149260	+	4.4	0.909	9.000000	9.0	0.5	18.92	2.14e-09	14.91	1.60e-08	0.86
chr1-190	chr1	132013246	132013348	+	4.4	0.600	9.000000	9.0	0.5	18.92	2.14e-09	7.93	3.11e-06	0.86
chr1-175	chr1	151871481	151871583	+	4.4	0.818	9.000000	9.0	1.0	9.46	6.80e-07	9.40	7.15e-07	0.86
chr1-163	chr1	153269574	153269676	+	4.4	0.818	9.000000	9.0	0.5	18.92	2.14e-09	9.72	5.48e-07	0.86
chr1-195	chr1	158697924	158698026	+	4.4	0.900	9.000000	9.0	1.0	9.46	6.80e-07	9.72	5.48e-07	0.86
chr1-109	chr1	162421669	162421771	+	4.4	0.714	10.000000	10.0	1.0	10.51	6.47e-08	11.38	1.51e-07	0.86
